row ID,row m/z,row retention time,S01_B14_H2O_POS.mzML area,S02_B14_H2O_POS.mzML area,S03_D14_H2O_POS.mzML area,S04_D14_H2O_POS.mzML area,S20_B28_H2O_POS.mzML area,S21_B28_H2O_POS.mzML area,S22_B28_H2O_POS.mzML area,S23_D28_H2O_POS.mzML area,S24_D28_H2O_POS.mzML area,S25_D28_H2O_POS.mzML area,S07_B14_JN2_POS.mzML area,S08_B14_JN2_POS.mzML area,S09_B14_JN2_POS.mzML area,S10_D14_JN2_POS.mzML area,S11_D14_JN2_POS.mzML area,S12_D14_JN2_POS.mzML area,S26_B28_JN2_POS.mzML area,S27_B28_JN2_POS.mzML area,S28_B28_JN2_POS.mzML area,S29_D28_JN2_POS.mzML area,S30_D28_JN2_POS.mzML area,S31_D28_JN2_POS.mzML area,S05_Dn14_H2O_POS.mzML area,S06_Dn14_H2O_POS.mzML area,PM04_POS.mzML area,PM05_POS.mzML area
39,131.974,0.22,1700000,1900000,1700000,1600000,1800000,990000,1800000,1700000,1900000,1700000,1700000,1600000,1700000,1500000,1700000,1700000,1800000,1700000,1800000,1300000,1800000,1800000,1500000,1700000,1000000,1900000
40,154.99,0.22,4900000,5000000,4900000,4600000,0,0,5000000,0,5200000,0,5000000,4600000,4800000,5100000,5000000,5000000,5200000,0,4600000,4200000,0,5100000,0,0,0,4500000
41,183.989,0.22,0,780000,0,0,0,730000,610000,0,0,760000,0,0,810000,0,0,740000,780000,0,0,0,0,580000,790000,0,0,0
42,141.959,0.23,9200000,9500000,9400000,9200000,8900000,8500000,10000000,9200000,9600000,9100000,9300000,8300000,9700000,9900000,9400000,9500000,10000000,9800000,9500000,9300000,9900000,9000000,9000000,9100000,13000000,9400000
44,184.986,0.26,1900000,0,8200000,0,0,0,8700000,0,8100000,10000000,9000000,9400000,9900000,0,9300000,8000000,7600000,10000000,11000000,0,0,7600000,10000000,8800000,0,0
45,167.977,0.29,0,0,0,0,2100000,0,0,0,0,0,2100000,0,0,2100000,0,0,2200000,0,0,0,0,2100000,0,0,0,0
46,161.97,0.32,0,1300000,0,1500000,1400000,0,1400000,0,1500000,0,1400000,1500000,1600000,1300000,1500000,0,1300000,1600000,1800000,0,0,1300000,0,1400000,0,0
48,141.979,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,1200000,0,0,0,0
52,235.639,0.59,0,0,0,0,280000,81000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,145.607,0.59,600000,0,0,1300000,910000,620000,0,0,0,0,910000,0,340000,850000,220000,240000,0,0,140000,0,0,0,0,740000,0,0
54,226.634,0.59,0,0,0,0,410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,129.139,0.61,2400000,3300000,1800000,1300000,230000,300000,0,0,0,0,1000000,1100000,640000,2000000,760000,260000,0,0,260000,160000,0,0,2000000,3400000,0,0
59,308.217,0.61,1200000,2500000,1500000,2700000,2300000,0,0,0,0,0,430000,1700000,340000,960000,0,0,0,0,0,0,0,0,0,1900000,0,0
61,112.113,0.61,850000,0,650000,0,0,0,0,0,0,0,220000,460000,190000,0,200000,100000,0,0,0,0,0,0,0,1200000,0,0
62,190.98,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160000,81000
65,304.969,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,235.952,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,130000,0,0,0,0,0,0,0
68,246.944,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000,0,0,0,0,0
69,147.163,0.62,0,500000,260000,0,0,0,0,0,0,0,0,89000,0,0,0,0,0,0,0,0,0,0,0,450000,0,0
71,131.155,0.62,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,210000,230000,140000,0,0,0,0,0,0,0
72,130.024,0.62,630000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210000,0,0,0,0,0
73,151.019,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,370000,0,0,0,140000,0,210000,0,190000,0,0,0,0
74,111.039,0.66,14000000,14000000,7500000,5100000,4800000,2900000,0,0,280000,0,3200000,4900000,3000000,3200000,3400000,2000000,550000,550000,1300000,720000,0,410000,15000000,5800000,0,0
76,200.973,0.62,3300000,1800000,3300000,3000000,2500000,2500000,0,1900000,2000000,2000000,3000000,1300000,2400000,3000000,2500000,2200000,2200000,440000,790000,2300000,0,1900000,1700000,3800000,0,1700000
78,168.016,0.63,0,0,0,910000,0,480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0
79,425.953,0.66,0,440000,0,0,0,220000,0,0,0,0,0,570000,230000,0,0,250000,0,0,320000,0,0,0,0,0,0,0
81,102.536,0.63,0,0,0,0,0,0,0,0,0,0,0,1600000,950000,0,0,0,0,0,0,200000,0,0,0,0,0,0
82,128.027,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,0,0,0,0,0,0,0,0,0
83,104.05,0.63,0,0,0,0,0,0,0,0,0,0,0,0,110000,0,0,87000,0,0,0,0,0,0,0,0,0,0
85,94.052,0.63,0,0,0,500000,0,0,0,180000,0,0,0,690000,0,0,450000,0,360000,260000,0,0,0,0,0,0,0,0
87,244.998,0.64,990000,0,0,0,630000,500000,0,190000,290000,0,0,0,0,1100000,0,0,0,0,480000,360000,250000,430000,0,0,0,0
88,382.928,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61000,0,0,0,0,0,0,0
89,111.538,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360000,0,0,0
90,95.543,0.64,0,0,0,0,160000,110000,0,0,83000,0,260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,140.028,0.64,0,0,0,0,0,0,0,0,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,245.948,0.64,0,0,0,0,0,0,0,0,140000,0,0,0,0,0,0,0,0,140000,0,150000,170000,0,0,0,0,0
94,145.11,0.64,0,0,430000,580000,4500000,4100000,7600000,870000,4200000,3700000,2300000,3500000,1300000,1800000,1100000,1800000,3000000,4200000,3900000,2800000,3900000,3800000,0,0,0,0
95,92.041,0.64,0,610000,580000,370000,360000,350000,0,110000,230000,190000,600000,490000,310000,600000,370000,310000,300000,220000,290000,280000,0,210000,620000,630000,0,0
100,96.535,0.64,0,0,380000,280000,240000,170000,0,0,150000,0,390000,0,190000,0,300000,230000,220000,0,0,130000,0,160000,290000,510000,0,0
101,83.015,0.64,1300000,1600000,1700000,1300000,840000,660000,260000,370000,530000,350000,1400000,1300000,710000,1200000,900000,720000,800000,480000,670000,550000,370000,560000,1600000,1900000,0,0
102,190.002,0.64,310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,84.012,0.64,1400000,1700000,1700000,1200000,940000,810000,270000,410000,530000,400000,1500000,1300000,780000,1500000,1000000,850000,850000,530000,690000,630000,410000,570000,1500000,2100000,0,0
113,223.989,0.64,7300000,11000000,9900000,7700000,6100000,4100000,1900000,2500000,3700000,2800000,9000000,8600000,4800000,8400000,6400000,5100000,5100000,3300000,4800000,3900000,2500000,4200000,9700000,12000000,0,0
114,114.559,0.64,0,0,0,0,0,200000,190000,0,190000,0,320000,0,0,0,200000,180000,0,0,0,230000,150000,0,0,0,0,0
115,103.051,0.64,850000,1100000,1100000,750000,650000,580000,0,300000,370000,370000,1300000,1000000,460000,890000,0,440000,490000,400000,520000,540000,0,520000,1100000,1200000,0,0
116,268.948,0.64,0,0,0,0,0,0,0,0,0,0,280000,260000,0,320000,0,140000,160000,0,140000,0,0,0,0,0,0,0
117,120.033,0.64,380000,490000,0,410000,310000,200000,0,0,170000,150000,430000,440000,280000,390000,270000,260000,270000,170000,240000,230000,140000,190000,540000,490000,0,0
119,243.997,0.64,6700000,8100000,7800000,5800000,4200000,3300000,0,1300000,2100000,1600000,6700000,6300000,3000000,6200000,4400000,3300000,3500000,1800000,3500000,2800000,1400000,2700000,7600000,9500000,0,0
121,243.001,0.64,6900000,8600000,8300000,6100000,4500000,3500000,650000,1300000,2100000,1700000,7400000,6800000,3300000,7100000,4800000,3600000,3800000,2000000,3600000,2900000,1400000,2900000,8400000,11000000,0,0
122,118.035,0.64,2300000,2900000,2400000,2000000,1700000,1400000,0,600000,990000,820000,2300000,2300000,1400000,2400000,1700000,1300000,1500000,860000,1300000,1200000,810000,1100000,2800000,3200000,0,0
123,128.144,0.64,1700000,2100000,1900000,890000,2700000,4600000,5400000,2900000,5600000,7100000,5500000,4600000,2800000,5500000,3900000,3500000,7200000,7500000,6700000,8400000,9900000,9500000,880000,1500000,0,0
124,224.99,0.64,1900000,2700000,2500000,1900000,1200000,1100000,230000,380000,620000,460000,2400000,2100000,1000000,2000000,1500000,1000000,1100000,550000,1000000,760000,400000,870000,2400000,3300000,0,0
125,119.036,0.64,0,400000,300000,0,220000,120000,0,0,150000,120000,310000,250000,0,310000,210000,180000,0,120000,0,130000,0,170000,350000,410000,0,0
126,192.062,0.64,2300000,2800000,2600000,1900000,1800000,1600000,0,0,1100000,0,2500000,2300000,1300000,2100000,1700000,1200000,1600000,1100000,1500000,1400000,1000000,1400000,2800000,2900000,0,0
127,147.025,0.64,360000,400000,370000,290000,250000,180000,0,0,130000,0,280000,0,180000,300000,240000,200000,230000,160000,180000,160000,0,160000,410000,480000,0,0
128,220.981,0.64,1100000,1500000,1300000,1100000,750000,500000,0,210000,380000,240000,1100000,1100000,550000,1300000,0,0,0,0,590000,430000,260000,460000,1200000,1700000,0,0
129,136.105,0.65,0,0,0,0,730000,480000,1200000,0,720000,460000,340000,390000,0,0,0,270000,0,0,0,0,0,560000,0,0,0,0
132,126.99,0.65,0,2200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,158.012,0.65,470000,0,410000,310000,270000,0,0,0,160000,0,390000,370000,230000,360000,260000,220000,250000,160000,210000,190000,120000,190000,550000,510000,0,0
134,83.537,0.65,11000000,13000000,12000000,9100000,8000000,6600000,2300000,3300000,4800000,3900000,12000000,11000000,5900000,11000000,7500000,6000000,6500000,4100000,5900000,5300000,3400000,5500000,12000000,15000000,0,0
135,112.007,0.65,7300000,8700000,8200000,6100000,4600000,3500000,1300000,1800000,2600000,2000000,7100000,6700000,3700000,6700000,4700000,3900000,4000000,2500000,3600000,2900000,1900000,2900000,8100000,9800000,0,0
136,91.543,0.65,1900000,2300000,2300000,1800000,1300000,1300000,0,590000,790000,650000,2200000,1900000,0,1900000,1300000,1100000,1000000,770000,1100000,1100000,0,990000,2300000,2500000,0,0
138,401.94,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,241.965,0.65,0,0,0,0,0,0,0,0,0,0,670000,940000,0,0,660000,340000,0,0,210000,0,0,0,0,1500000,0,0
140,241.999,0.65,23000000,30000000,29000000,21000000,16000000,12000000,0,4600000,8100000,5900000,26000000,24000000,12000000,24000000,17000000,12000000,14000000,7100000,13000000,10000000,5000000,10000000,29000000,38000000,0,0
142,266.017,0.65,5500000,6700000,6500000,4900000,3300000,2900000,0,1100000,1700000,1400000,5900000,5800000,2800000,5300000,3600000,2800000,2900000,1600000,3000000,2400000,1200000,2300000,6500000,8300000,0,0
143,151.025,0.65,0,810000,0,570000,600000,470000,0,160000,340000,250000,0,0,0,800000,0,420000,350000,0,0,350000,0,410000,1100000,0,0,0
145,143.049,0.65,940000,1100000,0,880000,750000,650000,250000,360000,480000,0,1100000,1000000,590000,890000,790000,560000,660000,410000,570000,570000,370000,470000,1200000,0,0,0
146,105.004,0.65,3200000,3600000,3400000,2500000,2300000,1600000,600000,860000,1300000,1000000,2800000,2400000,1700000,2900000,1900000,1600000,2000000,1200000,1800000,1600000,1100000,1300000,3500000,3900000,0,0
147,132.998,0.65,900000,1100000,960000,670000,580000,360000,0,210000,310000,210000,710000,640000,400000,830000,520000,0,460000,0,450000,360000,0,360000,930000,1100000,0,0
148,197.041,0.65,380000,0,380000,290000,290000,190000,0,120000,0,0,0,370000,0,380000,290000,0,0,0,0,0,0,190000,380000,420000,0,0
149,111.541,0.65,0,0,630000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,225.986,0.65,1900000,2500000,2300000,1600000,1200000,1100000,150000,390000,610000,470000,2000000,1700000,960000,1800000,1300000,930000,1100000,550000,950000,0,410000,720000,2400000,2900000,0,0
151,101.026,0.65,1700000,2000000,1900000,1300000,1200000,1000000,360000,420000,740000,550000,1700000,1500000,850000,0,1200000,950000,940000,620000,0,830000,530000,730000,1900000,2100000,0,0
152,86.993,0.65,1900000,2200000,2100000,1500000,1400000,0,0,430000,780000,500000,0,1600000,1000000,1800000,1200000,1000000,1100000,660000,1100000,890000,0,770000,2100000,2300000,0,0
153,94.546,0.65,10000000,12000000,12000000,9000000,7200000,6000000,2600000,3700000,5000000,4200000,11000000,11000000,5800000,10000000,7600000,6100000,6600000,4100000,6000000,5100000,3400000,5900000,12000000,14000000,0,0
154,265.016,0.65,18000000,22000000,21000000,16000000,11000000,9300000,0,3400000,5600000,4600000,20000000,18000000,8600000,17000000,12000000,9400000,9900000,5200000,9600000,7700000,3800000,7600000,22000000,28000000,0,0
155,123.014,0.65,430000,550000,0,390000,0,240000,0,150000,0,150000,0,330000,0,450000,0,0,0,0,330000,230000,0,200000,540000,610000,0,0
156,267.013,0.65,4600000,6000000,6000000,4400000,2900000,2500000,0,950000,1500000,1200000,5400000,5200000,2400000,4700000,3400000,2600000,2700000,1500000,2500000,2100000,1000000,2100000,5900000,7700000,0,0
157,128.01,0.65,0,620000,0,490000,0,0,0,130000,0,0,0,440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,147.031,0.65,780000,0,740000,570000,520000,410000,160000,0,350000,260000,720000,600000,380000,720000,490000,400000,510000,290000,450000,370000,320000,400000,0,880000,0,0
159,148.028,0.65,1000000,1100000,980000,820000,720000,560000,250000,0,440000,0,0,800000,560000,900000,650000,540000,630000,380000,0,530000,370000,520000,1100000,1100000,0,0
160,296.971,0.65,620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710000,0,0,0
161,171.043,0.65,1200000,1400000,1200000,860000,800000,740000,270000,390000,500000,440000,1100000,1000000,630000,1000000,820000,600000,660000,470000,710000,610000,430000,610000,1400000,1500000,0,0
162,308.226,0.65,0,0,0,0,0,0,0,110000,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,423.954,0.65,0,580000,710000,590000,0,330000,0,0,0,0,0,0,310000,860000,0,390000,0,0,390000,0,0,310000,570000,0,0,0
164,104.524,0.65,150000,370000,0,0,210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480000,0,0,0
165,94.039,0.65,0,0,680000,470000,0,0,150000,160000,0,0,640000,550000,0,0,410000,350000,350000,200000,0,0,0,0,0,0,0,0
166,142.052,0.65,620000,780000,690000,610000,520000,580000,190000,270000,320000,0,750000,730000,460000,680000,470000,400000,0,0,450000,380000,260000,380000,840000,910000,0,0
167,140.526,0.65,0,0,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,165.068,0.65,0,0,330000,270000,170000,0,0,0,150000,0,350000,380000,200000,270000,250000,200000,200000,150000,180000,170000,130000,210000,0,0,0,0
169,97.992,0.65,6900000,6400000,3700000,2600000,2300000,1400000,0,91000,100000,0,1500000,2400000,1500000,1600000,1700000,870000,290000,0,630000,0,0,140000,8000000,2800000,0,0
170,130.017,0.65,12000000,14000000,13000000,9400000,8000000,6300000,2300000,3200000,4900000,4000000,11000000,10000000,6600000,11000000,7900000,6200000,6900000,4400000,6500000,5400000,3800000,5600000,13000000,15000000,0,0
171,111.01,0.65,6300000,7000000,6800000,5000000,3800000,2900000,960000,1400000,2200000,1600000,5600000,5300000,3400000,5300000,3800000,3000000,3300000,2000000,3000000,2500000,1600000,2200000,6900000,7900000,0,0
172,100.029,0.65,670000,530000,360000,250000,200000,150000,0,0,0,0,0,0,160000,0,200000,0,0,0,0,0,0,0,720000,0,0,0
173,219.984,0.65,1200000,1500000,1400000,1000000,730000,500000,92000,190000,390000,240000,1100000,990000,630000,1200000,800000,0,680000,0,600000,0,0,430000,1300000,1600000,0,0
174,218.984,0.65,4600000,5600000,5200000,4200000,3100000,2000000,0,820000,1500000,1000000,4400000,4100000,2300000,4700000,3100000,2300000,2700000,1300000,2400000,0,0,1700000,5100000,6900000,0,0
175,102.022,0.65,2100000,2500000,2200000,1700000,1400000,1300000,420000,610000,870000,700000,2100000,2000000,1200000,2100000,1400000,1200000,1200000,790000,1100000,1100000,770000,1000000,2400000,2600000,0,0
176,239.966,0.65,20000000,23000000,13000000,8100000,6200000,3300000,0,0,350000,0,5400000,7400000,3700000,5300000,5300000,2600000,830000,570000,1600000,0,300000,460000,23000000,11000000,0,0
177,151.045,0.65,0,1100000,0,0,560000,0,0,240000,390000,280000,0,0,420000,720000,0,0,0,0,0,390000,0,390000,980000,0,0,0
180,153.039,0.65,0,0,2200000,1700000,0,0,400000,0,0,0,0,1800000,0,0,1400000,1000000,1100000,710000,0,860000,0,0,2200000,0,0,0
181,162.007,0.65,1200000,1100000,700000,540000,510000,280000,0,0,0,0,290000,360000,270000,260000,320000,190000,0,0,0,0,0,0,1300000,510000,0,0
182,288.956,0.65,0,0,0,0,0,0,0,0,0,0,0,240000,0,0,0,130000,170000,0,0,150000,0,0,0,0,0,0
183,208.039,0.65,0,610000,0,280000,0,140000,0,0,0,0,0,0,190000,110000,0,0,0,0,0,0,0,0,780000,0,0,0
184,84.96,0.65,6200000,6400000,3700000,2500000,2200000,1100000,0,0,0,0,1400000,2100000,1300000,1400000,1500000,940000,0,0,0,0,0,0,6800000,2800000,0,0
187,92.043,0.65,0,0,0,160000,0,0,0,0,0,0,260000,0,0,0,0,140000,0,0,0,0,0,120000,0,0,0,0
188,307.224,0.65,0,0,1300000,1300000,0,0,5700000,0,0,0,3400000,4700000,1400000,0,1400000,2000000,2900000,2900000,0,0,0,0,0,850000,0,0
189,245.995,0.65,340000,0,420000,340000,0,190000,0,0,100000,0,370000,410000,180000,0,270000,180000,250000,0,220000,120000,0,0,380000,640000,0,0
190,104.031,0.65,1000000,1200000,590000,410000,450000,0,0,0,0,0,280000,390000,310000,250000,280000,0,0,0,0,0,0,0,1200000,450000,0,0
191,174.025,0.65,1100000,1300000,1100000,840000,660000,0,0,320000,460000,320000,0,830000,520000,890000,0,500000,610000,370000,0,0,0,470000,1100000,1200000,0,0
192,184.961,0.14,0,530000,450000,0,140000,0,0,500000,480000,1000000,610000,0,0,830000,370000,470000,330000,400000,0,0,1100000,500000,1000000,350000,0,470000
193,151.022,0.65,1300000,1500000,1200000,880000,810000,630000,0,300000,520000,0,920000,0,620000,1100000,0,540000,620000,0,690000,560000,340000,570000,1500000,1300000,0,0
194,182.962,0.65,720000,960000,830000,700000,0,340000,0,0,0,0,790000,770000,440000,850000,490000,420000,0,210000,350000,260000,150000,0,0,1200000,0,0
195,88.991,0.65,300000,0,360000,220000,220000,130000,0,0,0,0,0,160000,140000,330000,0,0,150000,0,0,0,0,110000,0,450000,0,0
196,125.045,0.65,320000,370000,440000,0,240000,220000,0,96000,0,0,350000,0,170000,0,290000,0,160000,140000,150000,150000,0,0,0,390000,0,0
200,95.048,0.65,880000,900000,1100000,0,610000,0,0,0,380000,0,0,0,410000,0,0,0,0,0,0,0,0,0,0,0,0,0
201,170.047,0.65,890000,850000,900000,680000,570000,510000,0,270000,340000,0,0,820000,0,0,550000,0,530000,340000,0,0,0,0,990000,1100000,0,0
203,221.983,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0
205,129.979,0.65,1300000,1500000,1000000,480000,560000,360000,0,0,0,0,320000,520000,320000,340000,410000,230000,0,0,0,0,0,0,1600000,690000,0,0
206,259.975,0.65,1700000,1900000,1100000,750000,600000,270000,0,0,0,0,500000,640000,370000,420000,420000,0,0,0,0,0,0,0,1900000,980000,0,0
207,171.161,0.65,0,0,0,0,0,0,0,0,0,0,0,0,380000,82000,0,0,0,0,0,0,0,0,0,0,0,0
208,124.041,0.65,0,0,0,5400000,0,0,0,1900000,2400000,2000000,6400000,6000000,0,5800000,4400000,3600000,0,2200000,0,0,0,0,7100000,7100000,0,0
209,166.065,0.65,360000,490000,110000,290000,250000,290000,0,130000,190000,0,430000,480000,240000,320000,270000,180000,230000,150000,250000,220000,150000,0,480000,560000,0,0
210,193.064,0.68,290000,340000,360000,290000,290000,200000,0,0,180000,140000,0,0,180000,310000,0,0,210000,0,200000,110000,0,220000,410000,360000,0,0
212,107.001,0.65,460000,590000,510000,360000,400000,260000,0,0,210000,130000,420000,0,260000,470000,280000,240000,300000,160000,280000,240000,170000,220000,570000,560000,0,0
213,156.014,0.65,3000000,3500000,3300000,2400000,2100000,1600000,0,800000,1200000,980000,2900000,2600000,0,2800000,2100000,1600000,1700000,1100000,1700000,1400000,0,1300000,3400000,3900000,0,0
214,106.004,0.66,430000,460000,420000,310000,310000,220000,0,0,140000,120000,390000,350000,260000,430000,270000,220000,310000,140000,250000,200000,160000,210000,470000,510000,0,0
215,281.995,0.66,1400000,1400000,900000,530000,440000,210000,0,0,0,0,280000,550000,290000,380000,390000,170000,0,0,0,0,0,0,1600000,790000,0,0
217,171.006,0.66,1100000,970000,560000,330000,340000,190000,0,0,0,0,190000,320000,0,0,240000,150000,0,0,0,0,0,0,1100000,460000,0,0
218,170.041,0.66,730000,880000,760000,580000,560000,500000,0,240000,300000,270000,720000,570000,420000,610000,440000,360000,350000,0,0,0,270000,360000,860000,890000,0,0
